X,Y,OBJECTID,WQM_ID,LU_TYPE_CDE_KEY,TYPE,SCN_SRV_CODE_NAME,MNTR_TYPE,WTRB_TYPE,LCTN_DSCR,MNTR_SITE_STS,CTMT_CSTL,DSTR,PLNG_RGN
2071761.79310257,-4038950.42933026,147,INLD_362,1,INLD,CS23,Bacterial,Sea SW Outlet,Mitchells Plain stormwater west discharge,Routine,MPlain,6,S
2055845.28598162,-4043585.80206886,162,INLD_361,1,INLD,CS22,Bacterial,Sea SW Outlet,Muizenberg Station stormwater discharge,Routine,Sand,8,S
2055672.77438568,-4043981.51402593,165,INLD_364,1,INLD,CS26,Bacterial,Sea SW Outlet,Bailey's Cottage stormwater discharge,Routine,Muizb,8,S
2045305.87919022,-4023428.14080833,173,INLD_357,1,INLD,CN27,Bacterial,Sea SW Outlet,Bakoven stormwater discharge,Routine,City,5,C
2045572.14751736,-4022571.61671954,179,INLD_358,1,INLD,CN28,Bacterial,Sea SW Outlet,Camps Bay stormwater discharge,Routine,City,5,C
2045784.50442222,-4018629.13926567,187,INLD_348,1,INLD,CN16B,Bacterial,Sea SW Outlet,Saunders Rocks stormwater discharge,Routine,City,5,C
2046813.96563098,-4017244.46856985,193,INLD_354,1,INLD,CN24,Bacterial,Sea SW Outlet,Graaff's Pool stormwater 1 discharge,Routine,City,5,C
2046900.61452011,-4017161.86681783,194,INLD_355,1,INLD,CN25,Bacterial,Sea SW Outlet,Graaff's Pool stormwater 2 discharge,Routine,City,5,C
2046956.14071663,-4017015.55116176,195,INLD_356,1,INLD,CN26,Bacterial,Sea SW Outlet,Graaff's Pool stormwater 3 discharge,Routine,City,5,C
2047506.59748261,-4016537.52442443,197,INLD_347,1,INLD,CN06B,Bacterial,Sea SW Outlet,Rocklands stormwater pipe discharge,Routine,City,5,C
2047967.95388384,-4016228.54345374,201,INLD_349,1,INLD,CN17A,Bacterial,Sea SW Outlet,Three Anchor Bay stormwater pipe discharge at rocks (left from top) - A,Routine,City,5,C
2048042.12838115,-4016139.21132307,202,INLD_352,1,INLD,CN17E,Bacterial,Sea SW Outlet,Three Anchor Bay stormwater pipe discharge at rocks (west of subway) - E,Routine,City,5,C
2047969.356271,-4016228.88316346,228,INLD_350,1,INLD,CN17B,Bacterial,Sea SW Outlet,Three Anchor Bay stormwater pipe discharge at rocks (centre) - B,Routine,City,5,C
2047970.6831431,-4016229.1900213,229,INLD_351,1,INLD,CN17C,Bacterial,Sea SW Outlet,Three Anchor Bay stormwater pipe discharge at rocks (right from top) - C,Routine,City,5,C
2053678.59430511,-4046042.25296391,234,INLD_360,1,INLD,CS01B,Bacterial,Sea SW Outlet,Kalk Bay Harbour Beach stormwater discharge,Routine,Muizb,8,S
2052468.73508522,-4046581.04114451,235,INLD_368,1,INLD,SRE,Bacterial,Sea SW Outlet,Silvermine River East stormwater discharge,Routine,Smine,8,S
2052449.93104029,-4046586.20100057,236,INLD_369,1,INLD,SRW,Bacterial,Sea SW Outlet,Silvermine River West stormwater discharge,Routine,Smine,8,S
2051888.12404711,-4047662.67615396,237,INLD_365,1,INLD,FHC,Bacterial,Sea SW Outlet,Fish Hoek stormwater culvert discharge,Routine,Smine,8,S
2051981.72147636,-4047399.10206914,238,INLD_366,1,INLD,FHLH,Bacterial,Sea SW Outlet,Fish Hoek lighthouse stormwater discharge,Routine,Smine,8,S
2061254.01191125,-4035897.75510546,239,INLD_1,1,INLD,ZEV2S,Chemical & Bacterial & Algal,Vlei & Wetland,Zeekoevlei opposite inlet of Big Lotus River,Routine,Zeekoe,6,S
2060287.99991162,-4037189.27725983,240,INLD_2,1,INLD,ZEV1S,Chemical & Bacterial & Algal,Vlei & Wetland,Zeekoevlei Home Bay in front of Zeekoevlei Yacht Club,Routine,Zeekoe,6,S
2061206.27437064,-4038269.92835277,241,INLD_3,1,INLD,ZEV3S,Chemical & Bacterial & Algal,Vlei & Wetland,Zeekoevlei in front of Cape Peninsula Aquatic Club,Routine,Zeekoe,6,S
2060136.04883389,-4038115.15458736,242,INLD_4,1,INLD,ZEV4S,Chemical & Bacterial & Algal,Vlei & Wetland,Zeekoevlei SW corner approximately 200m from weir,Routine,Zeekoe,6,S
2061468.94144232,-4035183.82424778,243,INLD_5,1,INLD,LR08,Chemical & Bacterial,River,Lotus River at Fisherman's Walk bridge (just upstream of vlei),Routine,Zeekoe,6,S
2061244.39390451,-4033289.89534599,245,INLD_7,1,INLD,LR07,Chemical & Bacterial,Canal,Lotus River at Klip Road,Routine,Zeekoe,6,S
2061394.24571131,-4031158.95471524,246,INLD_8,1,INLD,LR06,Chemical & Bacterial,Canal,Woodlands Canal at New Ottery Road (near Ottery Hypermarket),Routine,Zeekoe,6,S
2061552.60436177,-4030867.0829763,247,INLD_9,1,INLD,LR05,Chemical & Bacterial,Canal,Lotus River at entrance to depot on Old Strandfontein Road,Routine,Zeekoe,6,S
2062670.94392589,-4028892.89709689,248,INLD_10,1,INLD,LR04,Chemical & Bacterial,Canal,Lotus River at Govan Mbeki Road,Routine,Zeekoe,6,S
2065876.0102411,-4029018.70279986,249,INLD_11,1,INLD,LR03,Chemical & Bacterial,Canal,Lotus River at corner Duinefontein and Govan Mbeki Road,Routine,Zeekoe,6,S
2068050.89166295,-4025081.58357219,250,INLD_12,1,INLD,LR02,Chemical & Bacterial,Canal,Lotus River on Settler's Way (N2) about 500m from Airport Approach Road,Routine,Zeekoe,6,S
2059941.60050428,-4033495.71428599,252,INLD_14,1,INLD,LR09,Chemical & Bacterial,Canal,Little Lotus River at Klip Road (near Montagues Gift Road),Routine,Zeekoe,6,S
2060135.99034956,-4035233.3372507,254,INLD_16,1,INLD,LR10,Chemical & Bacterial,Canal,Little Lotus River at Eighth Avenue,Routine,Zeekoe,6,S
2058645.22517942,-4036697.18302114,255,INLD_17,1,INLD,RVIRD,Chemical & Bacterial,Canal,Italian Road canal leading to Rondevlei,Routine,Zeekoe,6,S
2059680.82138062,-4037564.94724313,256,INLD_18,1,INLD,RVWEIR,Chemical & Bacterial & Algal,Vlei & Wetland,Rondevlei at weir,Routine,Zeekoe,6,S
2059876.77745883,-4038320.77038884,258,INLD_20,1,INLD,ZEWEIR,Chemical & Bacterial & Algal,Vlei & Wetland,Vlei sample at Zeekoevlei weir,Routine,Zeekoe,6,S
2051728.9279405,-4038850.69561309,259,INLD_21,1,INLD,CR05,Chemical & Bacterial,River,Westlake River at Steenberg Road,Routine,Sand,8,S
2053537.34608917,-4038774.01763077,260,INLD_22,1,INLD,CR03,Chemical & Bacterial,River,Westlake River at Altenburg Road - Kirstenhof,Routine,Sand,8,S
2053875.75336528,-4038905.77691976,261,INLD_23,1,INLD,CR02,Chemical & Bacterial,River,Westlake River at Orange Street - Kirstenhof,Routine,Sand,8,S
2054484.6916591,-4039737.40504199,262,INLD_24,1,INLD,CR01,Chemical & Bacterial,River,Westlake River corner Main Road and Chenel Way,Routine,Sand,8,S
2050874.60249819,-4033838.64804601,265,INLD_27,1,INLD,CR11,Chemical & Bacterial,River,Downstream confluence between Grootboschkloof and Belsiebos Stream,Routine,Sand,8,S
2053364.54695701,-4036081.78872524,269,INLD_31,1,INLD,CR06,Chemical & Bacterial,River,Spaanschemat River in greenbelt off Lismore Road (close to M3),Routine,Sand,8,S
2055574.21084502,-4036367.74067938,273,INLD_35,1,INLD,LVI,Chemical & Bacterial & Algal,Canal,Langevlei - vlei inlet,Routine,Sand,8,S
2055637.52262231,-4036747.59635417,274,INLD_36,1,INLD,LVO,Chemical & Bacterial & Algal,Vlei & Wetland,Langevlei - vlei outlet,Routine,Sand,8,S
2056103.51511613,-4034746.3532095,275,INLD_37,1,INLD,DRRSC,Chemical & Bacterial,Canal,Diep River at Roscommon Road,Routine,Sand,8,S
2056598.91603948,-4034842.50731697,276,INLD_38,1,INLD,LPVN,Chemical & Bacterial & Algal,Vlei & Wetland,Little Princessvlei - north,Routine,Sand,8,S
2056612.49272988,-4035504.09905878,277,INLD_39,1,INLD,LPVS,Chemical & Bacterial & Algal,Vlei & Wetland,Little Princessvlei - south,Routine,Sand,8,S
2056287.87032659,-4039521.75430717,279,INLD_41,1,INLD,CR21,Chemical & Bacterial,Canal,Sand River at Oudevlei Road (downstream of Langevlei & Sand River confluence),Routine,Sand,8,S
2055307.63434765,-4038980.95848014,280,INLD_42,1,INLD,CR20,Chemical & Bacterial,River,Keysers River at Military Road,Routine,Sand,8,S
2054009.95670948,-4030601.86862752,282,INLD_44,1,INLD,CR16,Chemical & Bacterial,River,Diep River at Alphen Road in canal,Routine,Sand,8,S
2055659.98425587,-4040222.41025829,284,INLD_46,1,INLD,ZA01S,Chemical & Bacterial & Algal,Estuary,"Zandvlei - north, surface",Routine,Sand,8,S
2055917.29954094,-4040874.86707288,285,INLD_47,1,INLD,ZA02S,Chemical & Bacterial & Algal,Estuary,"Zandvlei - centre (opposite Imperial Yacht Club), surface",Routine,Sand,8,S
2056020.56765326,-4041627.69111471,286,INLD_48,1,INLD,ZA03S,Chemical & Bacterial & Algal,Estuary,"Zandvlei - south (opposite Playwaters), surface",Routine,Sand,8,S
2056094.12843251,-4042208.99554976,287,INLD_49,1,INLD,ZA04S,Chemical & Bacterial & Algal,Estuary,"Outlet channel - midway to mouth, surface",Routine,Sand,8,S
2056648.85670289,-4042712.67846189,288,INLD_50,1,INLD,ZA05S,Chemical & Bacterial & Algal,Estuary,"Outlet channel near Royal Road bridge, surface",Routine,Sand,8,S
2056303.75460944,-4041137.06668684,289,INLD_51,1,INLD,ZA06S,Chemical & Bacterial & Algal,Estuary,"South entrance to Marina da Gama canals, surface",Routine,Sand,8,S
2056925.42736422,-4041404.36696275,290,INLD_52,1,INLD,ZA08S,Chemical & Bacterial & Algal,Estuary,"Marina da Gama canal near ""The Anchorage"", surface",Routine,Sand,8,S
2056164.34938138,-4040249.80167637,291,INLD_53,1,INLD,ZA07S,Chemical & Bacterial & Algal,Estuary,"North entrance to Marina da Gama canals, surface",Routine,Sand,8,S
2056770.97013313,-4020250.81868244,294,INLD_56,1,INLD,NR08,Chemical & Bacterial,Canal,Liesbeek River downstream of Lake weir opposite Hartleyvale,Routine,Salt,5,C
2057385.6182168,-4020200.09214358,295,INLD_57,1,INLD,NR07,Chemical & Bacterial,River,Black River on footbridge to Alexandra Institute,Routine,Salt,5,C
2056767.94509797,-4018714.06248193,296,INLD_58,1,INLD,NR09,Chemical & Bacterial,Canal,Salt River Canal at Voortrekker Road bridge,Routine,Salt,5,C
2056574.40927049,-4016655.44565866,297,INLD_59,1,INLD,NR10,Chemical & Bacterial,Canal,Salt River Canal at Marine Drive Bridge - Paarden Eiland,Routine,Salt,5,C
2057901.34521051,-4021682.52332571,298,INLD_60,1,INLD,NR06,Chemical & Bacterial,River,Black River at Raapenberg Road bridge,Routine,Salt,8,S
2060304.51785609,-4020906.64735542,299,INLD_61,1,INLD,ELS08,Chemical & Bacterial,Canal,Elsieskraal River at Nightingale Way,Routine,Salt,5,C
2059079.45675089,-4023125.52511916,300,INLD_62,1,INLD,NR11,Chemical & Bacterial,River,Black River in Rondebosch Golf Course,Routine,Salt,8,S
2059026.88309543,-4022542.78120617,301,INLD_63,1,INLD,NR19,Chemical & Bacterial,Canal,Vygekraal River downstream of Elsieskraal but upstream of Black River,Routine,Salt,8,S
2059664.33833536,-4022194.92162819,302,INLD_64,1,INLD,NR04,Chemical & Bacterial,River,Vygekraal River downstream of Athlone WWTW,Routine,Salt,6,S
2054205.08636366,-4026229.53811975,304,INLD_66,1,INLD,NR22,Chemical & Bacterial,Canal,Liesbeek River on Paradise Road,Routine,Salt,8,S
2066275.25191011,-4017173.92168942,308,INLD_70,1,INLD,ELS04,Chemical & Bacterial,Canal,Elsieskraal River on Chelsea Street,Routine,Salt,3,N
2062030.90434346,-4023120.71097656,311,INLD_73,1,INLD,NR02,Chemical & Bacterial,River,Vygekraal River at Cornflower Street upstream of Blomvlei Canal confluence,Routine,Salt,6,S
2061488.67909295,-4023031.66711347,312,INLD_74,1,INLD,NR01,Chemical & Bacterial,Canal,Blomvlei Canal at Koodoo Street upstream of Vygekraal River confluence,Routine,Salt,6,S
2061385.68387991,-4022132.70003606,313,INLD_75,1,INLD,NR16,Chemical & Bacterial,Canal,Langa Canal at N2,Routine,Salt,6,S
2060961.20813995,-4022227.86153996,317,INLD_79,1,INLD,NR03,Chemical & Bacterial,River,Vygekraal River upstream of Athlone WWTW,Routine,Salt,6,S
2057445.8941253,-4035293.24298488,319,INLD_81,1,INLD,PV03,Chemical & Bacterial & Algal,Vlei & Wetland,Princessvlei - centre,Routine,Zeekoe,8,S
2057725.75914822,-4035485.53703901,322,INLD_84,1,INLD,PVWEIR,Chemical & Bacterial & Algal,Vlei & Wetland,Princessvlei near outlet weir,Routine,Zeekoe,8,S
2042103.62673204,-4046200.95298274,326,INLD_88,1,INLD,WV08,Chemical & Bacterial & Algal,Vlei & Wetland,Wildevoelvlei mouth to sea,Routine,Nhoek,8,S
2043788.2249876,-4046955.36499809,327,INLD_89,1,INLD,WV02,Chemical & Bacterial & Algal,Vlei & Wetland,Centre of east vlei,Routine,Nhoek,8,S
2042870.909575,-4047115.36373645,328,INLD_90,1,INLD,WV05,Chemical & Bacterial & Algal,Vlei & Wetland,Centre of west vlei,Routine,Nhoek,8,S
2051379.65360542,-4049934.25623125,342,INLD_104,1,INLD,GC02,Chemical & Bacterial & Algal,Vlei & Wetland,Glencairn vlei centre - at concrete berm,Routine,SPen,8,S
2080307.11271092,-4017547.72758038,346,INLD_108,1,INLD,EK03,Chemical & Bacterial,River,Bottelary River at Amandel Road,Routine,Eerste,4,E
2078987.99398556,-4019050.83765882,347,INLD_109,1,INLD,EK04,Chem & Bacterial & Toxicity,Canal,Kuils River at Carinus Street bridge,Routine,Eerste,4,E
2078688.20710066,-4019748.36670626,348,INLD_110,1,INLD,EK09,Chem & Bacterial & Toxicity,Canal,Kuils River downstream of Belville WWTW discharge at Rietvlei Road,Routine,Eerste,4,E
